id,url,header,address,amenities,crawler,crawled_at,Quarto,Banheiro,Garagem,condominio,preço,area_limpo,Piscina para adulto,Cabeamento estruturado,Interfone,Churrasqueira na varanda,Segurança 24h,Sala de jantar,Aquecimento,Closet,Conexão à internet,Vista para a montanha,Vista exterior,Mais de um andar,Estacionamento,Depósito,Lavabo,Academia,Bicicletário,Estacionamento para visitantes,Salão de jogos,Piso de madeira,Perto de vias de acesso,Próximo a escola,Sala grande,Espaço teen,Condomínio fechado,Piscina,Espaço verde / Parque,Copa,Espaço gourmet,Andar inteiro,Armário na cozinha,Quadra de tênis,Próximo a hospitais,Ar-condicionado,Próximo a shopping,Cozinha,Drywall,Área de lazer,Gesso - Sanca - Teto Rebaixado,Sala de massagem,Móvel planejado,Portaria 24h,Escritório,Muro e grade,Quintal,Fogão,Câmera de segurança,Ambientes integrados,Janela grande,Quadra poliesportiva,Gás Encanado,Área de serviço,Box blindex,Varanda,Acesso para deficientes,TV a cabo,Sauna,Sistema de alarme,Recepção,Circuito de segurança,Portão eletrônico,Playground,Vigia,Salão de festas,Armário embutido,Próximo a transporte público,Janela de alumínio,Spa,Isolamento térmico,Cozinha americana,Churrasqueira,Mobiliado,Cozinha grande,Lavanderia,Muro de vidro,Vista para o mar,Elevador,Varanda gourmet,Gerador elétrico,Aceita animais,Despensa,Jardim
2497666105,https://www.vivareal.com.br/imovel/apartamento-3-quartos-tijuca-zona-norte-rio-de-janeiro-70m2-aluguel-RS1700-id-2497666105/,"Apartamento com 3 Quartos para Aluguel, 70m²","Rua Santo Afonso, 274 - Tijuca, Rio de Janeiro - RJ","Ar-condicionado, Elevador, Condomínio fechado, Acesso para deficientes, Portão eletrônico",tijuca,2021-03-24 13:38:00,3,2,0,750.0,1700,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2510270190,https://www.vivareal.com.br/imovel/apartamento-3-quartos-tijuca-zona-norte-rio-de-janeiro-com-garagem-147m2-aluguel-RS3600-id-2510270190/,"Apartamento com 3 Quartos para Aluguel, 147m²","Rua Engenheiro Enaldo Cravo Peixoto, 95 - Tijuca, Rio de Janeiro - RJ","Piscina, Academia, Churrasqueira, Elevador, Condomínio fechado",tijuca,2021-03-24 13:38:00,3,4,0,1580.0,3600,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2514152197,https://www.vivareal.com.br/imovel/apartamento-3-quartos-tijuca-zona-norte-rio-de-janeiro-85m2-aluguel-RS2000-id-2514152197/,"Apartamento com 3 Quartos para Aluguel, 85m²","Rua Uruguai, 487 - Tijuca, Rio de Janeiro - RJ","Ar-condicionado, Elevador, Jardim, Portaria 24h, Acesso para deficientes",tijuca,2021-03-24 13:38:00,3,1,0,840.0,2000,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2475443542,https://www.vivareal.com.br/imovel/apartamento-3-quartos-tijuca-zona-norte-rio-de-janeiro-com-garagem-140m2-aluguel-RS2400-id-2475443542/,"Apartamento com 3 Quartos para Aluguel, 140m²","Rua Antônio Basílio - Tijuca, Rio de Janeiro - RJ","Ar-condicionado, Elevador, Área de serviço, Aceita animais, Salão de festas",tijuca,2021-03-24 13:38:00,3,2,0,999.0,2400,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2514496338,https://www.vivareal.com.br/imovel/apartamento-3-quartos-tijuca-zona-norte-rio-de-janeiro-88m2-aluguel-RS2500-id-2514496338/,"Apartamento com 3 Quartos para Aluguel, 88m²","Rua Araújo Pena, 10 - Tijuca, Rio de Janeiro - RJ","Ar-condicionado, Elevador, Portaria 24h, Portão eletrônico",tijuca,2021-03-24 13:38:00,3,3,0,987.0,2500,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2513276007,https://www.vivareal.com.br/imovel/apartamento-2-quartos-tijuca-zona-norte-rio-de-janeiro-com-garagem-73m2-aluguel-RS2100-id-2513276007/,"Apartamento com 2 Quartos para Aluguel, 73m²","Rua Visconde de Itamarati, 74 - Tijuca, Rio de Janeiro - RJ","Piscina, Ar-condicionado, Elevador, Playground, Aceita animais",tijuca,2021-03-24 13:38:00,2,3,0,639.0,2100,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2513562852,https://www.vivareal.com.br/imovel/apartamento-3-quartos-tijuca-zona-norte-rio-de-janeiro-com-garagem-89m2-aluguel-RS3600-id-2513562852/,"Apartamento com 3 Quartos para Aluguel, 89m²","Rua Bom Pastor, 481 - Tijuca, Rio de Janeiro - RJ","Piscina, Ar-condicionado, Academia, Churrasqueira, Condomínio fechado",tijuca,2021-03-24 13:38:00,3,3,0,1100.0,3600,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2514577946,https://www.vivareal.com.br/imovel/apartamento-2-quartos-tijuca-zona-norte-rio-de-janeiro-70m2-aluguel-RS1500-id-2514577946/,"Apartamento com 2 Quartos para Aluguel, 70m²","Travessa Inácio Bittencourt, 7 - Tijuca, Rio de Janeiro - RJ",,tijuca,2021-03-24 13:38:00,2,2,0,,1500,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2507753873,https://www.vivareal.com.br/imovel/apartamento-2-quartos-tijuca-zona-norte-rio-de-janeiro-com-garagem-71m2-aluguel-RS1500-id-2507753873/,"Apartamento com 2 Quartos para Aluguel, 71m²","Rua Professor Gabizo - Tijuca, Rio de Janeiro - RJ","Playground, Portaria 24h, Portão eletrônico",tijuca,2021-03-24 13:38:00,2,2,0,650.0,1500,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2509252809,https://www.vivareal.com.br/imovel/apartamento-2-quartos-tijuca-zona-norte-rio-de-janeiro-com-garagem-70m2-aluguel-RS1650-id-2509252809/,"Apartamento com 2 Quartos para Aluguel, 70m²","Rua Doutor Satamini, 171 - Tijuca, Rio de Janeiro - RJ","Elevador, Playground, Aceita animais, Jardim, Portaria 24h",tijuca,2021-03-24 13:38:00,2,2,0,840.0,1650,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
