id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at
2513338494,https://www.vivareal.com.br/imovel/apartamento-1-quartos-tijuca-zona-norte-rio-de-janeiro-46m2-aluguel-RS1000-id-2513338494/,"Apartamento com Quarto para Aluguel, 46m²","Rua Uruguai, 291 - Tijuca, Rio de Janeiro - RJ",46,1 Quarto,1 Banheiro,-- Vaga,"Elevador
Condomínio fechado
Interfone
Sistema de alarme
Circuito de segurança",R$ 1.000 /mês,R$ 590,Tijuca,2021-03-24 13:39
2459914673,https://www.vivareal.com.br/imovel/apartamento-2-quartos-tijuca-zona-norte-rio-de-janeiro-30m2-aluguel-RS1200-id-2459914673/,"Apartamento com 2 Quartos para Aluguel, 30m²","Rua Barão de Mesquita - Tijuca, Rio de Janeiro - RJ",30,2 Quartos,1 Banheiro,-- Vaga,,R$ 1.200 /mês,,Tijuca,2021-03-24 13:39
2513099682,https://www.vivareal.com.br/imovel/apartamento-3-quartos-tijuca-zona-norte-rio-de-janeiro-com-garagem-90m2-aluguel-RS2200-id-2513099682/,"Apartamento com 3 Quartos para Aluguel, 90m²","Rua Andrade Neves, 241 - Tijuca, Rio de Janeiro - RJ",90,3 Quartos,2 Banheiros,1 Vaga,"Elevador
Condomínio fechado
Área de serviço
Aceita animais
Interfone",R$ 2.200 /mês,R$ 900,Tijuca,2021-03-24 13:39
2507326586,https://www.vivareal.com.br/imovel/apartamento-1-quartos-tijuca-zona-norte-rio-de-janeiro-45m2-aluguel-RS1000-id-2507326586/,"Apartamento com Quarto para Aluguel, 45m²","Rua Conde de Bonfim, 406 - Tijuca, Rio de Janeiro - RJ",45,1 Quarto,1 Banheiro,-- Vaga,,R$ 1.000 /mês,R$ 669,Tijuca,2021-03-24 13:39
2513793893,https://www.vivareal.com.br/imovel/apartamento-2-quartos-tijuca-zona-norte-rio-de-janeiro-com-garagem-75m2-aluguel-RS1900-id-2513793893/,"Apartamento com 2 Quartos para Aluguel, 75m²","Rua Barão de Mesquita, 314 - Tijuca, Rio de Janeiro - RJ",75,2 Quartos,2 Banheiros,1 Vaga,"Ar-condicionado
Elevador
Área de serviço
Playground
Salão de festas",R$ 1.900 /mês,R$ 765,Tijuca,2021-03-24 13:39
2513260295,https://www.vivareal.com.br/imovel/apartamento-2-quartos-tijuca-zona-norte-rio-de-janeiro-com-garagem-86m2-aluguel-RS1900-id-2513260295/,"Apartamento com 2 Quartos para Aluguel, 86m²","Tijuca, Rio de Janeiro - RJ",86,2 Quartos,1 Banheiro,1 Vaga,Elevador,R$ 1.900 /mês,R$ 602,Tijuca,2021-03-24 13:39
2507216693,https://www.vivareal.com.br/imovel/apartamento-2-quartos-tijuca-zona-norte-rio-de-janeiro-com-garagem-70m2-aluguel-RS1300-id-2507216693/,"Apartamento com 2 Quartos para Aluguel, 70m²","Tijuca, Rio de Janeiro - RJ",70,2 Quartos,2 Banheiros,1 Vaga,Elevador,R$ 1.300 /mês,R$ 700,Tijuca,2021-03-24 13:39
2503937741,https://www.vivareal.com.br/imovel/apartamento-2-quartos-tijuca-zona-norte-rio-de-janeiro-com-garagem-80m2-aluguel-RS2000-id-2503937741/,"Apartamento com 2 Quartos para Aluguel, 80m²","Rua Uruguai - Tijuca, Rio de Janeiro - RJ",80,2 Quartos,3 Banheiros,1 Vaga,"Elevador
Playground
Salão de festas",R$ 2.000 /mês,R$ 800,Tijuca,2021-03-24 13:39
2513235078,https://www.vivareal.com.br/imovel/apartamento-3-quartos-tijuca-zona-norte-rio-de-janeiro-com-garagem-88m2-aluguel-RS1500-id-2513235078/,"Apartamento com 3 Quartos para Aluguel, 88m²","Rua Uruguai, 540 - Tijuca, Rio de Janeiro - RJ",88,3 Quartos,2 Banheiros,1 Vaga,"Elevador
Aceita animais",R$ 1.500 /mês,R$ 1.086,Tijuca,2021-03-24 13:39
2511363774,https://www.vivareal.com.br/imovel/apartamento-3-quartos-tijuca-zona-norte-rio-de-janeiro-70m2-aluguel-RS2000-id-2511363774/,"Apartamento com 3 Quartos para Aluguel, 70m²","Rua São Vicente - Tijuca, Rio de Janeiro - RJ",70,3 Quartos,2 Banheiros,-- Vaga,Armário embutido,R$ 2.000 /mês,R$ 300,Tijuca,2021-03-24 13:39
2493537889,https://www.vivareal.com.br/imovel/apartamento-3-quartos-tijuca-zona-norte-rio-de-janeiro-com-garagem-140m2-aluguel-RS1700-id-2493537889/,"Apartamento com 3 Quartos para Aluguel, 140m²","Rua Antônio Basílio - Tijuca, Rio de Janeiro - RJ",140,3 Quartos,2 Banheiros,1 Vaga,"Elevador
Condomínio fechado
Área de serviço
Aceita animais
Espaço gourmet",R$ 1.700 /mês,R$ 1.315,Tijuca,2021-03-24 13:39
2502076778,https://www.vivareal.com.br/imovel/apartamento-1-quartos-tijuca-zona-norte-rio-de-janeiro-42m2-aluguel-RS1600-id-2502076778/,"Apartamento com Quarto para Aluguel, 42m²","Rua Afonso Pena, 54 - Tijuca, Rio de Janeiro - RJ",42,1 Quarto,2 Banheiros,-- Vaga,"Elevador
Área de serviço
Cozinha
TV a cabo
Circuito de segurança",R$ 1.600 /mês,R$ 560,Tijuca,2021-03-24 13:39
2504942286,https://www.vivareal.com.br/imovel/apartamento-3-quartos-tijuca-zona-norte-rio-de-janeiro-com-garagem-115m2-venda-RS800000-id-2504942286/,Apartamento com 3 Quartos para Venda/Aluguel 115m²,"Rua Carlos de Vasconcelos - Tijuca, Rio de Janeiro - RJ",115,3 Quartos,3 Banheiros,2 Vagas,Armário embutido,R$ 3.000 /mês,R$ 1.695,Tijuca,2021-03-24 13:39
2513325653,https://www.vivareal.com.br/imovel/apartamento-3-quartos-tijuca-zona-norte-rio-de-janeiro-90m2-aluguel-RS2000-id-2513325653/,"Apartamento com 3 Quartos para Aluguel, 90m²","Rua Itacuruçá, 77 - Tijuca, Rio de Janeiro - RJ",90,3 Quartos,3 Banheiros,-- Vaga,"Ar-condicionado
Elevador
Condomínio fechado
Playground
Aceita animais",R$ 2.000 /mês,R$ 850,Tijuca,2021-03-24 13:39
2512048007,https://www.vivareal.com.br/imovel/apartamento-1-quartos-tijuca-zona-norte-rio-de-janeiro-com-garagem-35m2-aluguel-RS1064-id-2512048007/,"Apartamento com Quarto para Aluguel, 35m²","Rua General Roca - Tijuca, Rio de Janeiro - RJ",35,1 Quarto,1 Banheiro,1 Vaga,"Elevador
Área de serviço
Playground
Interfone",R$ 1.064 /mês,R$ 436,Tijuca,2021-03-24 13:39
