iter	Logloss
0	0.6792371203
1	0.6664375751
2	0.654139863
3	0.6421867153
4	0.631136425
5	0.6210527596
6	0.6113851162
7	0.6022182919
8	0.5935169882
9	0.584489962
10	0.5775775043
11	0.5714246546
12	0.5638310139
13	0.5579541081
14	0.5511557818
15	0.5453719096
16	0.5391379364
17	0.5339660709
18	0.5285873906
19	0.5236150141
20	0.5191266949
21	0.5144211699
22	0.5103300276
23	0.5059301921
24	0.5020238024
25	0.4985050813
26	0.4949607483
27	0.4915189405
28	0.4881408326
29	0.4854813248
30	0.4823322333
31	0.4798110522
32	0.4769962907
33	0.474856551
34	0.4723882676
35	0.4701671629
36	0.4680342393
37	0.4661970614
38	0.4641592779
39	0.4621348707
40	0.460085408
41	0.4582175546
42	0.4565405955
43	0.4553253458
44	0.4535765702
45	0.4520890103
46	0.4505633539
47	0.4490034175
48	0.4475006893
49	0.446171122
50	0.4450762928
51	0.4438650463
52	0.4425378585
53	0.4414916366
54	0.4401785444
55	0.4391902665
56	0.4383571321
57	0.4372985368
58	0.4363397111
59	0.4353957661
60	0.4343433828
61	0.4335476546
62	0.4328901228
63	0.4319795507
64	0.4312191803
65	0.4305197567
66	0.4298803638
67	0.429125614
68	0.4282651434
69	0.4275303135
70	0.4268966629
71	0.4261596266
72	0.4255780335
73	0.4249347172
74	0.4243524991
75	0.4238453964
76	0.4233046875
77	0.422753906
78	0.4222845036
79	0.4218365985
80	0.4213707554
81	0.4209037064
82	0.4204065464
83	0.4199315005
84	0.4194404997
85	0.4189926753
86	0.4185753658
87	0.4182001215
88	0.4178084694
89	0.4174358702
90	0.4169735749
91	0.4166442856
92	0.4162792604
93	0.4159137501
94	0.4155325474
95	0.4151646726
96	0.4147519614
97	0.4144390756
98	0.4140923102
99	0.4137430223
100	0.4134488723
101	0.4131444078
102	0.4127812749
103	0.4124494268
104	0.4121680577
105	0.4117688711
106	0.4115204327
107	0.4112452075
108	0.4109419949
109	0.4106436704
110	0.4103671584
111	0.4101577707
112	0.4099047843
113	0.4096468225
114	0.4093971447
115	0.4091120596
116	0.4089072415
117	0.4086192845
118	0.4084586872
119	0.4082366364
120	0.408023573
121	0.4077457802
122	0.4074869992
123	0.4072352699
124	0.4070348537
125	0.4068017488
126	0.4065197288
127	0.4062391726
128	0.4060024405
129	0.4058385225
130	0.4056166209
131	0.40539761
132	0.4052455893
133	0.405048863
134	0.4047686445
135	0.4045862291
136	0.404385854
137	0.4042138182
138	0.403950694
139	0.4037950425
140	0.4035820526
141	0.4033991323
142	0.4032069756
143	0.4030634854
144	0.4029064286
145	0.4027609193
146	0.4026040406
147	0.4024175727
148	0.4021772634
149	0.4019643292
150	0.4018037559
151	0.4016389577
152	0.401512213
153	0.4012669176
154	0.4011248282
155	0.400991593
156	0.4008374973
157	0.4006904853
158	0.4005326815
159	0.4003015434
160	0.4001137017
161	0.4000317238
162	0.3999197675
163	0.3997639162
164	0.3995910213
165	0.399454287
166	0.3992993293
167	0.3991294657
168	0.3989161899
169	0.3988020883
170	0.3986738869
171	0.3985852612
172	0.3983773972
173	0.3982560511
174	0.3981174022
175	0.3980066314
176	0.3979036786
177	0.3977941167
178	0.3976588862
179	0.3974886373
180	0.3973690998
181	0.3972788025
182	0.3971663217
183	0.3970937077
184	0.3969464742
185	0.3967469256
186	0.3966463762
187	0.3965512667
188	0.3964329837
189	0.3963496047
190	0.3962346913
191	0.3961479115
192	0.3960285121
193	0.3959752915
194	0.3958920642
195	0.3957408311
196	0.3956226564
197	0.3954672593
198	0.3953562599
199	0.3952365861
